City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Jalu,LY,83.8,overcast clouds,29.0331,21.5482,صاحبة الفخامة
11,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
14,Atuona,PF,81.28,few clouds,-9.8,-139.0333,Villa Enata
15,Rio Grande,BR,77.0,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
16,Redding,US,79.0,clear sky,40.5865,-122.3917,Redding Inn & Suites
18,Iracoubo,GF,81.7,scattered clouds,5.4802,-53.2011,Le Gite D Iracoubo
27,Denpasar,ID,78.8,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
29,Rikitea,PF,77.32,clear sky,-23.1203,-134.9692,Pension Maro'i
36,Avarua,CK,80.6,light rain,-21.2078,-159.775,Paradise Inn
41,Butaritari,KI,82.85,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
42,Buala,SB,79.5,light rain,-8.145,159.5921,Maringe Lagoon Lodge
48,Omboue,GA,79.34,overcast clouds,-1.5746,9.2618,Hotel Olako
49,Auki,SB,77.29,broken clouds,-8.7676,160.7034,Auki Motel
56,Vanimo,PG,76.1,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
58,Veraval,IN,80.42,clear sky,20.9,70.3667,Lords Inn Somnath
59,Rayon,MX,78.8,clear sky,19.1444,-99.5836,La Paloma
60,Puerto Ayora,EC,82.4,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
65,Makakilo City,US,75.99,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
66,Dingle,PH,77.58,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
70,Georgetown,MY,82.99,few clouds,5.4112,100.3354,Cititel Penang
73,Vila Velha,BR,84.2,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
78,Carnarvon,AU,76.01,clear sky,-24.8667,113.6333,Hospitality Carnarvon
81,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
84,Mar Del Plata,AR,78.01,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
89,Cam Ranh,VN,78.8,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
92,Dhidhdhoo,MV,84.52,broken clouds,6.8833,73.1,Dhidhoo beach
94,Samarai,PG,82.45,overcast clouds,-10.6167,150.6667,Nuli Sapi
95,Pathardi,IN,86.81,clear sky,19.1667,75.1833,श्रुतिमाऊली वेद पाठशाळा
96,Pitimbu,BR,82.4,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
99,Bambous Virieux,MU,77.0,moderate rain,-20.3428,57.7575,Casa Tia Villa
100,San Ramon,US,81.0,clear sky,37.7799,-121.978,San Ramon Marriott
107,Hambantota,LK,78.8,few clouds,6.1241,81.1185,Bungalow 63
108,Junin,AR,82.99,overcast clouds,-34.5838,-60.9433,Hotel Copahue
112,Laguna,US,81.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
119,Port Blair,IN,81.18,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
121,Souillac,MU,75.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
122,Kavieng,PG,81.46,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
124,Saint-Philippe,RE,75.2,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
127,Harper,LR,80.92,overcast clouds,4.375,-7.7169,Screensaver
129,Port-Gentil,GA,82.4,few clouds,-0.7193,8.7815,Fengshui Residence
130,Vallenar,CL,84.78,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
133,Santa Cruz,BO,80.89,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
