City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Codrington,AU,-38.2667,141.9667,51.19,95,12,9.55,few clouds
1,Aykino,RU,62.2248,49.9922,24.94,78,12,3.11,few clouds
2,Hobart,AU,-42.8794,147.3294,55.4,58,100,11.5,overcast clouds
3,Ancud,CL,-41.8697,-73.8203,53.6,100,90,8.05,light rain
4,Artyom,AZ,40.4723,50.333,55.4,76,0,9.22,clear sky
5,Jalu,LY,29.0331,21.5482,83.8,27,100,22.77,overcast clouds
6,Visnes,NO,59.3556,5.2242,50.0,57,0,8.05,clear sky
7,Zaozhuang,CN,34.8647,117.5542,48.74,53,6,2.95,clear sky
8,Lerwick,GB,60.1545,-1.1494,44.6,87,0,11.5,clear sky
9,Saint George,US,37.1041,-113.5841,68.0,16,1,4.61,clear sky
10,Mataura,NZ,-46.1927,168.8643,54.0,84,93,5.01,overcast clouds
11,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,78,0,10.36,clear sky
12,Torbay,CA,47.6666,-52.7314,37.99,100,90,17.27,light rain
13,Albany,US,42.6001,-73.9662,57.0,54,75,13.8,broken clouds
14,Atuona,PF,-9.8,-139.0333,81.28,72,17,16.75,few clouds
15,Rio Grande,BR,-32.035,-52.0986,77.0,61,20,13.8,few clouds
16,Redding,US,40.5865,-122.3917,79.0,20,1,6.91,clear sky
17,Kapaa,US,22.0752,-159.319,73.99,68,75,9.22,broken clouds
18,Iracoubo,GF,5.4802,-53.2011,81.7,70,30,10.71,scattered clouds
19,Sri Aman,MY,1.2376,111.4621,73.4,100,100,2.3,overcast clouds
20,Binga,ZW,-17.6203,27.3414,67.26,65,3,1.9,clear sky
21,Barinas,VE,8.6226,-70.2075,95.34,31,100,6.89,overcast clouds
22,Port Alfred,ZA,-33.5906,26.891,74.34,44,0,4.9,clear sky
23,Tazovskiy,RU,67.4667,78.7,-13.02,98,24,9.57,few clouds
24,Vaini,TO,-21.2,-175.2,68.0,88,20,2.3,few clouds
25,Duldurga,RU,50.6761,113.5931,24.8,36,9,4.29,clear sky
26,Baruun-Urt,MN,46.6806,113.2792,38.82,28,2,12.8,clear sky
27,Denpasar,ID,-8.65,115.2167,78.8,94,75,2.3,broken clouds
28,Nikolskoye,RU,59.7035,30.7861,50.0,43,0,11.18,clear sky
29,Rikitea,PF,-23.1203,-134.9692,77.32,74,0,8.5,clear sky
30,Nanortalik,GL,60.1432,-45.2371,28.15,53,14,14.18,few clouds
31,Kruisfontein,ZA,-34.0033,24.7314,68.0,42,0,1.01,clear sky
32,Dasoguz,TM,41.8363,59.9666,66.2,34,0,6.91,clear sky
33,Saskylakh,RU,71.9167,114.0833,-3.96,97,97,6.49,overcast clouds
34,Ushuaia,AR,-54.8,-68.3,57.2,51,40,3.44,scattered clouds
35,Port Elizabeth,ZA,-33.918,25.5701,64.4,63,0,2.3,clear sky
36,Avarua,CK,-21.2078,-159.775,80.6,78,40,8.05,light rain
37,Teguise,ES,29.0605,-13.564,68.0,60,20,18.41,few clouds
38,Kendari,ID,-3.945,122.4989,73.26,94,100,4.45,light rain
39,San Cristobal,VE,7.7669,-72.225,91.4,38,40,18.41,scattered clouds
40,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,20,10.36,few clouds
41,Butaritari,KI,3.0707,172.7902,82.85,76,88,15.46,overcast clouds
42,Buala,SB,-8.145,159.5921,79.5,82,28,3.24,light rain
43,Bluff,NZ,-46.6,168.3333,54.0,84,62,5.01,broken clouds
44,Tasiilaq,GL,65.6145,-37.6368,28.4,50,0,1.14,clear sky
45,Bredasdorp,ZA,-34.5322,20.0403,68.0,52,7,8.05,clear sky
46,Vitkov,CZ,49.7744,17.7494,46.0,92,100,7.02,overcast clouds
47,Ahipara,NZ,-35.1667,173.1667,54.54,82,96,2.98,overcast clouds
48,Omboue,GA,-1.5746,9.2618,79.34,84,100,6.96,overcast clouds
49,Auki,SB,-8.7676,160.7034,77.29,87,84,3.71,broken clouds
50,Terrace Bay,CA,48.7834,-87.1,42.8,56,90,4.61,overcast clouds
51,Tiksi,RU,71.6872,128.8694,5.74,88,100,11.81,overcast clouds
